Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2023,Spring,Week 2,⁠⁠MAD,⁠⁠XL,⁠⁠MAD,13.4,Annie,Rakan,Gragas,Veigar,Malphite,Caitlyn,Draven,Akali,Nautilus,Rell,Odoamne,Sion,Xerxe,Maokai,Vetheo,Jayce,Patrik,Xayah,LIMIT,Soraka,Chasy,Jax,Elyoya,LeeSin,Nisqy,Orianna,Carzzy,Zeri,Hylissang,Lulu
2023,Spring,Week 2,⁠⁠FNC,⁠⁠TH,⁠⁠TH,13.4,Varus,Jayce,Caitlyn,AurelionSol,Olaf,Draven,Annie,Rakan,Gragas,Viktor,Evi,Sion,Jankos,JarvanIV,Ruby,Azir,Jackspektra,Zeri,Mersa,Lulu,Oscarinin,Jax,Razork,Vi,Humanoid,Taliyah,Rekkles,Xayah,Advienne,Nautilus
2023,Spring,Week 2,⁠⁠SK,⁠⁠KOI,⁠⁠KOI,13.4,Varus,Sejuani,Caitlyn,TwistedFate,Leblanc,Zeri,Annie,Vi,Sylas,Jax,Irrelevant,Sion,Markoon,MonkeyKing,Sertuss,Azir,Exakick,Xayah,Doss,Thresh,Szygenda,Gnar,Malrang,LeeSin,Larssen,Lissandra,Comp,Kaisa,Trymbi,Rakan
2023,Spring,Week 2,⁠⁠VIT,⁠⁠G2,⁠⁠VIT,13.4,Jayce,Caitlyn,Annie,Jax,Fiora,Draven,Rakan,Varus,Sylas,Taliyah,BrokenBlade,Kled,Yike,Vi,Caps,Cassiopeia,Hans,Xayah,Mikyx,Soraka,Photon,Camille,Bo,Gragas,Perkz,AurelionSol,Upset,Zeri,Kaiser,Lulu
2023,Spring,Week 2,⁠⁠SK,⁠⁠XL,⁠⁠XL,13.4,Annie,Rakan,Vi,Azir,Nautilus,Jayce,Maokai,Gragas,Kennen,KSante,Odoamne,Sion,Xerxe,MonkeyKing,Vetheo,Syndra,Patrik,Zeri,LIMIT,Lulu,Irrelevant,Jax,Markoon,Sejuani,Sertuss,Akali,Exakick,Draven,Doss,Soraka
2023,Spring,Week 2,⁠⁠MAD,⁠⁠TH,⁠⁠TH,13.4,Draven,Sion,Rakan,Nautilus,Amumu,Xayah,Gragas,Annie,Taliyah,Sylas,Chasy,KSante,Elyoya,MonkeyKing,Nisqy,Cassiopeia,Carzzy,Zeri,Hylissang,Renata,Evi,Gwen,Jankos,Vi,Ruby,Ahri,Jackspektra,Kaisa,Mersa,Leona
2023,Spring,Week 2,⁠⁠VIT,⁠⁠AST,⁠⁠VIT,13.4,Caitlyn,Lucian,Lulu,Cassiopeia,Taliyah,Sejuani,Elise,Xayah,Sylas,Ryze,Finn,Sion,113,Viego,LIDER,AurelionSol,Kobbe,Varus,JeongHoon,Annie,Photon,Gwen,Bo,Vi,Perkz,Lissandra,Upset,Kaisa,Kaiser,Rakan
2023,Spring,Week 2,⁠⁠BDS,⁠⁠G2,⁠⁠G2,13.4,Draven,Varus,Kled,Taliyah,Jax,Annie,Caitlyn,Xayah,Yone,Veigar,Adam,Renekton,Sheo,Sejuani,nuc,Akali,Crownie,Zeri,Labrov,Lulu,BrokenBlade,Gragas,Yike,Vi,Caps,Azir,Hans,Twitch,Mikyx,Rakan
2023,Spring,Week 2,⁠⁠FNC,⁠⁠KOI,⁠⁠FNC,13.4,Annie,Rakan,Caitlyn,Leblanc,Gwen,AurelionSol,Zeri,Varus,Taliyah,Jayce,Oscarinin,Gangplank,Razork,Vi,Humanoid,Azir,Rekkles,Xayah,Advienne,Nautilus,Szygenda,Gnar,Malrang,LeeSin,Larssen,TwistedFate,Comp,Kalista,Trymbi,Taric
2023,Spring,Week 3,⁠⁠TH,⁠⁠AST,⁠⁠AST,13.4,Elise,Sejuani,Varus,Akali,Azir,Draven,Annie,Xayah,Sion,KSante,Evi,Gragas,Jankos,MonkeyKing,Ruby,Cassiopeia,Jackspektra,Zeri,Mersa,Rakan,Finn,Jax,113,Maokai,LIDER,Zed,Kobbe,Jinx,JeongHoon,Nautilus
