Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2022,Summer,Week 6,⁠⁠IMT,⁠⁠100,⁠⁠IMT,12.13,Kalista,Poppy,Yone,Alistar,Fiora,Zeri,Sylas,Jinx,Yuumi,Trundle,Ssumday,Gnar,Closer,LeeSin,Abbedagge,Taliyah,FBI,Sivir,huhi,Gragas,Revenge,Aatrox,Kenvi,Viego,PowerOfEvil,Swain,Lost,Seraphine,IgNar,Nautilus
2022,Summer,Week 6,⁠⁠DIG,⁠⁠CLG,⁠⁠DIG,12.13,Viego,Ahri,Zeri,MonkeyKing,LeeSin,Taliyah,Poppy,Yone,Gwen,Fiora,Dhokla,Gangplank,Contractz,XinZhao,Palafox,Azir,Luger,Draven,Poome,Renata,Hoon,Ornn,eXyu,Trundle,Blue,Viktor,Spawn,Kalista,Biofrost,Pyke
2022,Summer,Week 7,⁠⁠GG,⁠⁠100,⁠⁠100,12.14,Leblanc,Taliyah,Poppy,Gwen,Azir,Pantheon,Sylas,Kalista,Jax,Fiora,Licorice,Sejuani,River,JarvanIV,LIDER,Akali,Stixxay,Aphelios,Prismal,Lulu,Ssumday,Ornn,Closer,MonkeyKing,Abbedagge,Lissandra,FBI,Lucian,huhi,Nami
2022,Summer,Week 7,⁠⁠EG,⁠⁠TSM,⁠⁠EG,12.14,Ahri,Kalista,Ryze,Jax,TahmKench,Leblanc,Yuumi,MissFortune,Senna,Jinx,Impact,Gwen,Inspired,Poppy,jojopyun,Sylas,Danny,Zeri,Vulcan,Rakan,Solo,Fiora,Spica,Trundle,Maple,Azir,Instinct,Sivir,Chime,Bard
2022,Summer,Week 7,⁠⁠TL,⁠⁠FLY,⁠⁠FLY,12.14,Trundle,Kalista,Leblanc,Sivir,Draven,Ahri,LeeSin,Yuumi,Lulu,Ezreal,Philip,Gwen,Josedeodo,MonkeyKing,toucouille,Taliyah,Johnsun,Aphelios,aphromoo,Renata,Bwipo,Olaf,Santorin,Poppy,Bjergsen,Azir,Hans,Lucian,CoreJJ,Nami
2022,Summer,Week 7,⁠⁠CLG,⁠⁠C9,⁠⁠C9,12.14,Sivir,Leblanc,Kalista,Lillia,Poppy,Renata,Nilah,Olaf,Zeri,Nautilus,Fudge,Fiora,Blaber,Trundle,Jensen,Azir,Berserker,Lucian,Zven,Nami,Dhokla,Jayce,Contractz,MonkeyKing,Palafox,Yone,Luger,Seraphine,Poome,Karma
2022,Summer,Week 7,⁠⁠IMT,⁠⁠DIG,⁠⁠IMT,12.14,Seraphine,Kalista,Poppy,Fiora,Gwen,Zeri,Taliyah,Azir,Sejuani,Leblanc,Hoon,Ornn,eXyu,Viego,Blue,Sylas,Spawn,Aphelios,Biofrost,TahmKench,Revenge,Yone,Kenvi,LeeSin,PowerOfEvil,Orianna,Lost,Draven,IgNar,Amumu
2022,Summer,Week 7,⁠⁠FLY,⁠⁠CLG,⁠⁠FLY,12.14,LeeSin,Jax,Yuumi,Ahri,Nautilus,Kalista,Yone,Draven,MissFortune,Lucian,Dhokla,Gwen,Contractz,Poppy,Palafox,Azir,Luger,Twitch,Poome,Lulu,Philip,Fiora,Josedeodo,Trundle,toucouille,Zoe,Johnsun,Sivir,aphromoo,Leona
2022,Summer,Week 7,⁠⁠C9,⁠⁠100,⁠⁠100,12.14,Poppy,Azir,Lucian,Taliyah,Leblanc,Olaf,Kalista,Orianna,Fiora,Lissandra,Fudge,Gnar,Blaber,MonkeyKing,Jensen,Sylas,Berserker,Nilah,Zven,Sona,Ssumday,Gwen,Closer,Trundle,Abbedagge,Ahri,FBI,Sivir,huhi,Yuumi
2022,Summer,Week 7,⁠⁠EG,⁠⁠TL,⁠⁠EG,12.14,Yuumi,LeeSin,Leblanc,Ezreal,Zeri,Kalista,Poppy,Olaf,Gragas,TahmKench,Bwipo,Sett,Santorin,Trundle,Bjergsen,Azir,Hans,Sivir,CoreJJ,Leona,Impact,Gwen,Inspired,MonkeyKing,jojopyun,Sylas,Danny,Xayah,Vulcan,Rakan
2022,Summer,Week 7,⁠⁠IMT,⁠⁠GG,⁠⁠IMT,12.14,Sejuani,Pantheon,Seraphine,Nilah,Yuumi,Taliyah,Kalista,Poppy,Draven,,Revenge,Graves,Kenvi,MonkeyKing,PowerOfEvil,Azir,Lost,Aphelios,IgNar,Lulu,Licorice,Fiora,River,Trundle,LIDER,Sylas,Stixxay,Lucian,Prismal,Nami
2022,Summer,Week 7,⁠⁠TSM,⁠⁠DIG,⁠⁠TSM,12.14,Kalista,Lucian,Yuumi,Lissandra,Leblanc,Taliyah,Poppy,Azir,XinZhao,Gwen,Solo,Ornn,Spica,MonkeyKing,Maple,Ahri,Instinct,Sivir,Chime,Nautilus,Hoon,Sejuani,eXyu,Viego,Blue,Sylas,Spawn,Zeri,Biofrost,Lulu
2022,Summer,Week 8,⁠⁠TL,⁠⁠DIG,⁠⁠TL,12.14,Yuumi,Ahri,LeeSin,Lulu,Sejuani,Poppy,Kalista,Trundle,Nautilus,Karma,Bwipo,Olaf,Santorin,Skarner,Bjergsen,Azir,Hans,Sivir,CoreJJ,Rakan,Hoon,Gnar,eXyu,MonkeyKing,Blue,Taliyah,Spawn,Zeri,Biofrost,Renata
2022,Summer,Week 8,⁠⁠EG,⁠⁠GG,⁠⁠GG,12.14,Leblanc,Gwen,Yuumi,Alistar,Trundle,Kalista,Poppy,Seraphine,Ornn,Nautilus,Licorice,Gragas,River,MonkeyKing,Ablazeolive,Ahri,Stixxay,Sivir,Olleh,Rakan,Impact,Sejuani,Inspired,Viego,jojopyun,Azir,Danny,Zeri,Vulcan,Lulu
2022,Summer,Week 8,⁠⁠FLY,⁠⁠100,⁠⁠FLY,12.14,Kalista,Poppy,JarvanIV,Ornn,Fiora,Gwen,MonkeyKing,Ahri,LeeSin,Vi,Philip,Sejuani,Josedeodo,Viego,toucouille,Leblanc,Johnsun,Sivir,aphromoo,Lulu,Ssumday,Gnar,Closer,Trundle,Abbedagge,Azir,FBI,Zeri,huhi,Yuumi
2022,Summer,Week 8,⁠⁠TSM,⁠⁠CLG,⁠⁠CLG,12.14,JarvanIV,Renekton,Zeri,Lulu,Alistar,Seraphine,Kalista,Draven,Gwen,Taliyah,Dhokla,Camille,Contractz,Poppy,Palafox,Leblanc,Luger,Sivir,Poome,Yuumi,Solo,Ornn,Spica,MonkeyKing,Maple,Azir,Instinct,Jinx,Chime,Rakan
